data数 : 104625
正解数 : 56050
('(IT)', '(キャラ)')のデータ数 : 225
('(IT)', '(スポーツ)')のデータ数 : 225
('(IT)', '(ビジネス)')のデータ数 : 225
('(IT)', '(ファッション)')のデータ数 : 225
('(IT)', '(交通)')のデータ数 : 225
('(IT)', '(人)')のデータ数 : 225
('(IT)', '(人名)')のデータ数 : 225
('(IT)', '(企業名)')のデータ数 : 225
('(IT)', '(動植物)')のデータ数 : 225
('(IT)', '(化学)')のデータ数 : 225
('(IT)', '(医療)')のデータ数 : 225
('(IT)', '(単位)')のデータ数 : 225
('(IT)', '(商品)')のデータ数 : 225
('(IT)', '(国名)')のデータ数 : 225
('(IT)', '(地名)')のデータ数 : 225
('(IT)', '(地形)')のデータ数 : 225
('(IT)', '(娯楽)')のデータ数 : 225
('(IT)', '(店)')のデータ数 : 225
('(IT)', '(店名)')のデータ数 : 225
('(IT)', '(建築)')のデータ数 : 225
('(IT)', '(政治)')のデータ数 : 225
('(IT)', '(教育)')のデータ数 : 225
('(IT)', '(料理)')のデータ数 : 225
('(IT)', '(時間)')のデータ数 : 225
('(IT)', '(法律)')のデータ数 : 225
('(IT)', '(組織名)')のデータ数 : 225
('(IT)', '(美容)')のデータ数 : 225
('(IT)', '(色)')のデータ数 : 225
('(IT)', '(観光)')のデータ数 : 225
('(IT)', '(音楽)')のデータ数 : 225
('(キャラ)', '(スポーツ)')のデータ数 : 225
('(キャラ)', '(ビジネス)')のデータ数 : 225
('(キャラ)', '(ファッション)')のデータ数 : 225
('(キャラ)', '(交通)')のデータ数 : 225
('(キャラ)', '(人)')のデータ数 : 225
('(キャラ)', '(人名)')のデータ数 : 225
('(キャラ)', '(企業名)')のデータ数 : 225
('(キャラ)', '(動植物)')のデータ数 : 225
('(キャラ)', '(化学)')のデータ数 : 225
('(キャラ)', '(医療)')のデータ数 : 225
('(キャラ)', '(単位)')のデータ数 : 225
('(キャラ)', '(商品)')のデータ数 : 225
('(キャラ)', '(国名)')のデータ数 : 225
('(キャラ)', '(地名)')のデータ数 : 225
('(キャラ)', '(地形)')のデータ数 : 225
('(キャラ)', '(娯楽)')のデータ数 : 225
